"","RR.Resp","DET.Resp","NRLINE.Resp","maxL.Resp","L.Resp","ENTR.Resp","rENTR.Resp","LAM.Resp","TT.Resp","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","condition","group1","group2"
"1",0,NA,0,0,0,NA,NA,NA,NA,0.225520221803146,88.75146465304,1593,20,4.27934714375392,1.99903776257657,0.678919745568132,93.2951438614764,5.35175504107543,"Synchronous","G1","G4"
"2",0,NA,0,0,0,NA,NA,NA,NA,0.082952169543941,80.2757564151666,703,10,2.98150782361309,1.35803219944813,0.618067089480004,90.5400229797013,4.00677966101695,"TurnTaking","G1","G4"
"3",3.47079174122103,80.7671021920643,18054,27,3.71840035449208,1.75003981306786,0.543680436364617,93.9038475420487,4.54869164869748,0.291074001341669,83.8541666666667,1088,42,4.14338235294118,1.83759421319667,0.578213684000274,91.8154761904762,6.25602027883397,"SelfPaced","G1","G4"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G1","G4"
"5",3.60069441435264,77.1117438140245,36058,31,3.64290864717954,1.72647663574647,0.536360123745114,89.2964278376237,5.32978276103714,3.44925735579071,97.3186467579801,12212,236,10.8449885358664,2.812381611477,0.552791814869594,98.9565575216037,21.1908733280881,"Synchronous","G2","G6"
"6",3.41641493201684,77.4076733561958,41685,17,2.99985606333213,1.3719225671507,0.494816471027992,89.3869238483156,4.13259115105031,0.0334495826790504,60.9552691432904,286,8,2.81118881118881,1.207302746511,0.62043088017045,69.4465504169826,3.23674911660777,"TurnTaking","G2","G6"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G2","G6"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G2","G6"
"9",4.21360871125681,85.1042037053744,37235,38,4.30672754129179,1.98290080423278,0.577433952474518,92.4491453014133,5.74579457747873,0.0741123708595983,86.0262008733624,640,14,3.69375,1.69133186414325,0.659401660006699,93.3406113537118,5.56399132321041,"Synchronous","G3","G1"
"10",3.43401270845383,80.8360276320206,42332,25,3.24251157516772,1.53554970903534,0.49677405995088,92.7993027213889,4.53978680495534,0.130463994254371,87.9578246392897,1308,20,3.63532110091743,1.71957968677422,0.620207271630642,95.5604883462819,5.14029850746269,"TurnTaking","G3","G1"
